,qid,title,category,sub_category,cve_id,cvss,publish_date
0,375923,Google Chrome Prior to 94.0.4606.71 Multiple Vulnerabilities,Local,"Authenticated Discovery, Patch Available","CVE-2021-37974,CVE-2021-37975,CVE-2021-37976",9,10/1/2021
1,375757,Trend Micro Apex One(On-Prem) Multiple Vulnerabilities(000263632)(August 2020),Local,"Windows Authenticated Discovery, Patch Available","CVE-2020-24556,CVE-2020-24557,CVE-2020-24558,CVE-2020-24559,CVE-2020-24562",7.8,8/2/2021
2,91787,Microsoft Power Business Intelligence (Power Bl) Desktop Security Update for July 2021,Windows,"Windows Authenticated Discovery, Patch Available",CVE-2021-31984,8.8,8/12/2021
3,317058,Cisco SD-WAN vManage Software Disaster Recovery Feature Password Exposure Vulnerability ( cisco-sa-sd-wan-credentials-ydYfskzZ),Cisco,"Unix Authenticated Discovery, Patch Available",CVE-2021-1589,6.5,9/24/2021
4,317053,Cisco Internetwork Operating System (IOS) XE Software for Cisco cBR-8 Converged Broadband Routers Common Open Policy Service Denial of Service (DoS) Vulnerability (cisco-sa-cbr8-cops-Vc2ZsJSx),Cisco,"Remote Discovery, Unix Authenticated Discovery, Patch Available",CVE-2021-1622,8.6,9/24/2021
5,317059,Cisco SD-WAN Software Information Disclosure Vulnerability ( cisco-sa-sd-wan-Fhqh8pKX),Cisco,"Unix Authenticated Discovery, Patch Available",CVE-2021-1546,5.5,9/27/2021
6,106022,EOL/Obsolete Operating System: IBM AIX 7.2 Technology Level 3 (TL3) Detected,Security Policy,Unix Authenticated Discovery,,8.8,9/30/2021
10,239655,Red Hat Update for nodejs:12 (RHSA-2021:3638),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2021-3672,CVE-2021-22918,CVE-2021-22930,CVE-2021-22931,CVE-2021-22939,CVE-2021-22940,CVE-2021-23343,CVE-2021-23362,CVE-2021-27290,CVE-2021-32803,CVE-2021-32804",9.8,9/30/2021
11,239654,Red Hat Update for nodejs:12 (RHSA-2021:3639),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2021-3672,CVE-2021-22918,CVE-2021-22930,CVE-2021-22931,CVE-2021-22939,CVE-2021-22940,CVE-2021-23343,CVE-2021-23362,CVE-2021-27290,CVE-2021-32803,CVE-2021-32804",9.8,9/30/2021
12,730213,Openfire Cross-Site Scripting (XSS) Vulnerability (OF-1019),CGI,"Remote Discovery, Patch Available, Exploit Available",CVE-2015-6972,5.9,9/30/2021
13,751177,OpenSUSE Security Update for shibboleth-sp (openSUSE-SU-2021:3244-1),SUSE,"Unix Authenticated Discovery, Patch Available",,4.2,9/30/2021
14,751178,OpenSUSE Security Update for nodejs14 (openSUSE-SU-2021:1313-1),SUSE,"Unix Authenticated Discovery, Patch Available","CVE-2021-22931,CVE-2021-3672,CVE-2021-22940,CVE-2021-22930,CVE-2021-22939",9.8,9/30/2021
15,751179,OpenSUSE Security Update for grilo (openSUSE-SU-2021:1312-1),SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2021-39365,5.9,9/30/2021
16,751180,OpenSUSE Security Update for gd (openSUSE-SU-2021:3236-1),SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2021-40812,6.5,9/30/2021
17,751181,OpenSUSE Security Update for opera (openSUSE-SU-2021:1310-1),SUSE,"Unix Authenticated Discovery, Patch Available","CVE-2021-30607,CVE-2021-30623,CVE-2021-30613,CVE-2021-30615,CVE-2021-30616,CVE-2021-30624,CVE-2021-30618,CVE-2021-30606,CVE-2021-30610,CVE-2021-30608,CVE-2021-30621,CVE-2021-30619,CVE-2021-30614,CVE-2021-30617,CVE-2021-30620,CVE-2021-30612,CVE-2021-30609,CVE-2021-30622,CVE-2021-30611",8.8,9/30/2021
18,751182,OpenSUSE Security Update for grafana-piechart-panel (openSUSE-SU-2021:1308-1),SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2020-13429,5.4,9/30/2021
19,375901,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) Traffic Management Microkernel (TMM) Vulnerability (K70415522)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23035,7.5,9/30/2021
20,375902,F5 BIG-IP Application Security Manager (ASM) Traffic Management Microkernel (TMM) Vulnerability (K05043394),Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23036,7.5,9/30/2021
